ASV_ID,kingdom,phylum,class,order,family,genus,species,domain,species_raw,best_id,species_lab,occ_query_name,occ_n_records,occ_n_gbif,occ_n_obis,occ_min_distance_km,occ_nearest_lat,occ_nearest_lon,occ_in_study_area,occ_in_buffer,occ_assessment,occ_congeners_in_region
ASV1,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo macrostigma,Eukaryota,Salmo macrostigma,Salmo macrostigma,Salmo macrostigma 1,Salmo macrostigma,219,210,9,2144.0742965504915,44.233611,10.364444,False,False,DOUBTFUL,Fario aurora; Salmo abanticus; Salmo adirondacus; Salmo akairos; Salmo alipes; Salmo americanus; Salmo aphelios; Salmo arabatsch; Salmo araxensis; Salmo arcticus; Salmo arcturus; Salmo ardahanensis; Salmo auratus; Salmo balcanicus; Salmo baliki; Salmo bathoecetor; Salmo bodschac; Salmo boops; Salmo brasiliensis; Salmo callaris; Salmo campbelli; Salmo carinatus; Salmo carpio; Salmo caspius; Salmo cenerinus; Salmo cettii; Salmo chilo; Salmo chimbure; Salmo ciscaucasicus; Salmo coruhensis; Salmo curima; Salmo curimata; Salmo cyprinoides; Salmo dentex; Salmo denticulosus; Salmo digitalis; Salmo duhani; Salmo edentulus; Salmo eremogenes; Salmo erythraeus; Salmo erythrinus; Salmo erythrophthalmus; Salmo erythrorynchos; Salmo euphrataeus; Salmo evermanni; Salmo ezenami; Salmo fahrettini; Salmo farioides; Salmo ferox; Salmo fibreni; Salmo germanorum; Salmo gibber; Salmo gillaroo; Salmo gracilis; Salmo grandoculus; Salmo gronovii; Salmo hearnii; Salmo hoodii; Salmo icimus; Salmo illanken; Salmo inghaghitsh; Salmo ischchan; Salmo japonensis; Salmo jaraqui; Salmo kayko; Salmo kottelati; Salmo kundsha; Salmo kunsha; Salmo labecula; Salmo labrax; Salmo laevigatus; Salmo leptosoma; Salmo letnica; Salmo lodde; Salmo lossos; Salmo lourosensis; Salmo lucius; Salmo lumi; Salmo lycaodon; Salmo macedonicus; Salmo marmoratus; Salmo matrincham; Salmo melampterus; Salmo melanurus; Salmo mendocinensis; Salmo microcephalus; Salmo microps; Salmo montenigrinus; Salmo muchsan; Salmo muikisi; Salmo multipunctata; Salmo munzuricus; Salmo murathani; Salmo naresii; Salmo nigrescens; Salmo nigripinnis; Salmo nitidus; Salmo notatus; Salmo nummifer; Salmo obtusirostris; Salmo ochiutus; Salmo octoradiatus; Salmo ohridanus; Salmo okumusi; Salmo omul; Salmo opimus; Salmo ovatus; Salmo pacu; Salmo pacupeba; Salmo pallaryi; Salmo parr; Salmo pelagonicus; Salmo pellegrini; Salmo pennanti; Salmo pequira; Salmo peristericus; Salmo piraputanga; Salmo platycephalus; Salmo pomatops; Salmo punctatus; Salmo reidur; Salmo rhodanensis; Salmo rivalis; Salmo rizeensis; Salmo roosevelti; Salmo roschal; Salmo rosei; Salmo rossii; Salmo sachicanga; Salmo salar; Salmo salaroides; Salmo samlet; Salmo saramao; Salmo schiefermuelleri; Salmo schrankii; Salmo septemradiatus; Salmo spec; Salmo spilurus; Salmo stomachicus; Salmo taleri; Salmo tamuco; Salmo tapdisma; Salmo tigridis; Salmo trigintaoctoradiatus; Salmo trutta; Salmo truttasalar; Salmo tumbel; Salmo undecimradiatus; Salmo ursinus; Salmo vario; Salmo villosus; Salmo viridis; Salmo visovacensis; Salmo wimba; Salmo zrmanjaensis
ASV2,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea,Eukaryota,,Clupea,Clupea 1,,,,,,,,,,,
ASV3,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Ctenolabrus,Ctenolabrus rupestris,Eukaryota,Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus rupestris 1,Ctenolabrus rupestris,688,113,575,0,,,True,True,CONFIRMED,
ASV4,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Ctenolabrus,Ctenolabrus rupestris,Eukaryota,Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus rupestris 2,Ctenolabrus rupestris,688,113,575,0,,,True,True,CONFIRMED,
ASV5,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 1,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,
ASV6,Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Phoxinus,Phoxinus,Eukaryota,,Phoxinus,Phoxinus 1,,,,,,,,,,,
ASV7,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Pollachius,Pollachius virens,Eukaryota,Pollachius virens,Pollachius virens,Pollachius virens 1,Pollachius virens,1925,457,1468,0,,,True,True,CONFIRMED,
ASV8,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Eukaryota,Clupea pallasii,Clupea pallasii,Clupea pallasii 1,Clupea pallasii,6,6,0,799.967717003177,,,False,False,POSSIBLE,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata; Clupea fimbriata; Clupea gasterostea; Clupea gigantea; Clupea guestfalica; Clupea hadleyi; Clupea harengus; Clupea ignota; Clupea inermis; Clupea inflata; Clupea laccia; Clupea longimana; Clupea macrocephala; Clupea macrochira; Clupea macropthalma; Clupea macroura; Clupea manulensis; Clupea marisalbi; Clupea megapteryx; Clupea melastoma; Clupea membras; Clupea montevideo; Clupea opisthopteryx; Clupea papalina; Clupea piltschardus; Clupea polyachanthina; Clupea rex; Clupea sardinites; Clupea saulos; Clupea scheuchseri; Clupea smaragdina; Clupea spec; Clupea sulcata; Clupea suworowi; Clupea tenuissima; Clupea testis; Clupea tiejei; Clupea tobarana; Clupea trigintaoctoradiata; Clupea trinacridis; Clupea ventricosa; Clupea verticalis; Clupea vigintiquiniradiata; Clupea vigintiradiata; Clupea vittargentea; Clupea vittata; Clupea voinovi; Clupea weileri; Clupea xenophanis; Clupea zanclea; Sardinella caudata
ASV9,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,Eukaryota,Salmo salar,Salmo salar,Salmo salar 1,Salmo salar,110604,69150,41454,0,,,True,True,CONFIRMED,
ASV10,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber scombrus,Eukaryota,Scomber scombrus,Scomber scombrus,Scomber scombrus 1,Scomber scombrus,686,265,421,0,,,True,True,CONFIRMED,
ASV11,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,Eukaryota,Pholis gunnellus,Pholis gunnellus,Pholis gunnellus 1,Pholis gunnellus,102,83,19,0,,,True,True,CONFIRMED,
ASV12,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,Eukaryota,Gasterosteus aculeatus,Gasterosteus aculeatus,Gasterosteus aculeatus 1,Gasterosteus aculeatus,1341,1335,6,0,,,True,True,CONFIRMED,
ASV13,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 2,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,
ASV14,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius merluccius,Eukaryota,Merluccius merluccius,Merluccius merluccius,Merluccius merluccius 1,Merluccius merluccius,416,57,359,0,,,True,True,CONFIRMED,
ASV15,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Eukaryota,Homo sapiens,Homo sapiens,Homo sapiens 1,Homo sapiens,3,3,0,0,,,True,True,CONFIRMED,
ASV16,Eukaryota,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Molva molva,Eukaryota,Molva molva,Molva molva,Molva molva 1,Molva molva,584,156,428,0,,,True,True,CONFIRMED,
ASV17,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,Eukaryota,Platichthys stellatus,Platichthys stellatus,Platichthys stellatus 1,Platichthys stellatus,19811,12106,7705,4573.044400674077,68.16666666666667,-108.833333333333,False,False,DOUBTFUL,Passer oculatus; Platichthys flesus; Platichthys solemdali
ASV18,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 3,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,
ASV19,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Pollachius,Pollachius virens,Eukaryota,Pollachius virens,Pollachius virens,Pollachius virens 2,Pollachius virens,1925,457,1468,0,,,True,True,CONFIRMED,
ASV20,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Labrus,Labrus mixtus,Eukaryota,Labrus mixtus,Labrus mixtus,Labrus mixtus 1,Labrus mixtus,471,123,348,0,,,True,True,CONFIRMED,
ASV21,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Labrus,Labrus bergylta,Eukaryota,Labrus bergylta,Labrus bergylta,Labrus bergylta 1,Labrus bergylta,338,110,228,0,,,True,True,CONFIRMED,
ASV22,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,Eukaryota,Gadus morhua,Gadus morhua,Gadus morhua 1,Gadus morhua,7145,3129,4016,0,,,True,True,CONFIRMED,
ASV23,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus curilus,Eukaryota,Salvelinus curilus,Salvelinus curilus,Salvelinus curilus 1,Salvelinus curilus,182,118,64,3592.6354072858476,63.7261,-68.5156,False,False,DOUBTFUL,Salvelinus agassizii; Salvelinus albus; Salvelinus alpinus; Salvelinus anaktuvukensis; Salvelinus andriashevi; Salvelinus angustus; Salvelinus boganidae; Salvelinus colii; Salvelinus confluentus; Salvelinus czerskii; Salvelinus drjagini; Salvelinus elgyticus; Salvelinus evasus; Salvelinus faroensis; Salvelinus fimbriatus; Salvelinus fontinalis; Salvelinus gracillimus; Salvelinus grayi; Salvelinus gritzenkoi; Salvelinus inframundus; Salvelinus jacuticus; Salvelinus japonicus; Salvelinus killinensis; Salvelinus kingi; Salvelinus krogiusae; Salvelinus kronocius; Salvelinus kuznetzovi; Salvelinus lepechini; Salvelinus leucomaenis; Salvelinus levanidovi; Salvelinus lonsdalii; Salvelinus mallochi; Salvelinus malma; Salvelinus maxillaris; Salvelinus multidentatus; Salvelinus murta; Salvelinus namaycush; Salvelinus neiva; Salvelinus neocomensis; Salvelinus obtusus; Salvelinus perisii; Salvelinus profundus; Salvelinus salvelinoinsularis; Salvelinus schmidti; Salvelinus struanensis; Salvelinus taimyricus; Salvelinus taranetzi; Salvelinus thingvallensis; Salvelinus tolmachoffi; Salvelinus umbla; Salvelinus vasiljevae; Salvelinus willoughbii; Salvelinus youngeri
ASV24,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Zeugopterus,Zeugopterus punctatus,Eukaryota,Zeugopterus punctatus,Zeugopterus punctatus,Zeugopterus punctatus 1,Zeugopterus punctatus,29,20,9,0,,,True,True,CONFIRMED,
ASV25,Eukaryota,Chordata,Actinopteri,Gadiformes,Lotidae,Lota,Lota lota,Eukaryota,Lota lota,Lota lota,Lota lota 1,Lota lota,4872,4872,0,0,,,True,True,CONFIRMED,
ASV26,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Zeugopterus,Zeugopterus norvegicus,Eukaryota,Zeugopterus norvegicus,Zeugopterus norvegicus,Zeugopterus norvegicus 1,Zeugopterus norvegicus,36,20,16,0,,,True,True,CONFIRMED,
ASV27,Eukaryota,Chordata,Actinopteri,Gadiformes,Gaidropsaridae,Gaidropsaridae,Gaidropsaridae,Eukaryota,,Gaidropsaridae,Gaidropsaridae,,,,,,,,,,,
ASV28,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus quadricornis,Eukaryota,Myoxocephalus quadricornis,Myoxocephalus quadricornis,Myoxocephalus quadricornis 1,Myoxocephalus quadricornis,2112,1304,808,288.88861603725195,,,False,True,PLAUSIBLE,
ASV29,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,Pomatoschistus pictus,Eukaryota,Pomatoschistus pictus,Pomatoschistus pictus,Pomatoschistus pictus 1,Pomatoschistus pictus,19,18,1,0,,,True,True,CONFIRMED,
ASV30,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Raniceps,Raniceps raninus,Eukaryota,Raniceps raninus,Raniceps raninus,Raniceps raninus 1,Raniceps raninus,29,24,5,0,,,True,True,CONFIRMED,
